Bmr026-c1_0000040_0000140,yeah .,yeah .,z,z
Bmr026-c4_0475830_0478950,yeah it's basically ascii files or binary files whatever representation .,yeah it's basically ascii files or binary files whatever representation .,s,s
Bmr026-c2_0476050_0476440,so ==,so ==,fh,fh
Bmr026-c4_0479370_0480160,just three different ==,just three different ==,s.%--,s.%--
Bmr026-c4_0480280_0484956,it's a waveform and just a stylized pitch vector basically so it's ==,it's a waveform and just a stylized pitch vector basically so it's ==,s.%--,s.%--
Bmr026-c4_0485676_0489396,i mean we could do it in matl- - i mean you could do it in a number of different places i'm sure .,i mean we could do it in matl- - i mean you could do it in a number of different places i'm sure .,s,s
Bmr026-c3_0485924_0487884,so - so - well ==,so - so - well ==,fg,fg
Bmr026-c3_0489072_0503970,but - but it would be cool if the transcriber interface had like another window for the - you know maybe above the waveform where it would show some arbitrary valued function that is - that is you know time synchron- - ti- - ti- - time synchronous with the waveform .,but - but it would be cool if the transcriber interface had like another window for the - you know maybe above the waveform where it would show some arbitrary valued function that is - that is you know time synchron- - ti- - ti- - time synchronous with the wavform .,s^cs,s^cs
Bmr026-c2_0491522_0491702,yep .,yep .,b,b
Bmr026-c4_0495650_0495900,yeah .,yeah .,b,b
Bmr026-c4_0499230_0500060,yeah that'd be very cool .,yeah that'd be very cool .,s^aa^ba,s^aa^ba
Bmr026-c1_0499291_0499641,yes .,yes .,b,b
Bmr026-c0_0500357_0501867,it'd be easy enough to add that .,it'd be easy enough to add that .,s,s
Bmr026-c0_0501867_0505577,again it's - it's - it's more tcl t. k. programming .,again it's - it's - it's more tcl-t_k programming .,s^ng,s^ng
Bmr026-c4_0504130_0504310,yeah .,yeah .,b,b
Bmr026-c0_0505577_0508137,so someone who's familiar with tcl t. k. has to do it .,so someone who's familiar with tcl-t_k has to do it .,s,s
Bmr026-c3_0505827_0506447,right .,right .,b,b
Bmr026-c3_0507784_0508164,right .,right .,b,b
Bmr026-c0_0508257_0509747,but uh - it wouldn't be hard to do .,but uh - it wouldn't be hard to do .,s,s
Bmr026-c3_0510290_0512700,but it would almost be like having another waveform displayed .,but it would almost be like having another waveform displayed .,s,s
Bmr026-c4_0512770_0513090,uhhuh .,mm-hmm .,b,b
Bmr026-c0_0512876_0513066,yep .,yep .,s^aa,s^aa
Bmr026-c3_0512890_0513240,s- ==,s- ==,%-,%-
Bmr026-c2_0513074_0513264,yep .,yep .,b,b
Bmr026-c3_0513380_0513610,right .,right .,b,b
Bmr026-c2_0515485_0515625,yeah .,yeah .,b,b
Bmr026-c2_0516295_0517905,yeah maybe we could l- - look into that .,yeah maybe we could l- - look into that .,s^cs,s^cs
Bmr026-c4_0518010_0518200,yeah .,yeah .,b,b
Bmr026-c0_0518689_0520577,but it - it seems to me that - i c- ==,but it - it seems to me that - i c- ==,s.%--,s.%--
Bmr026-c2_0518815_0519045,and ==,and ==,%-,%-
Bmr026-c0_0521210_0524290,it doesn't seem like having that real time is that necessary .,it doesn't seem like having that real time is that necessary .,s,s
Bmr026-c0_0524290_0526630,so yo- - it seems to me you could do images .,so yo- - it seems to me you could do images .,s,s
Bmr026-c4_0527560_0529940,um - | what do you mean by real time ?,um - | what do you mean by real time ?,h|qw,h|qw
Bmr026-c4_0529940_0531090,do you mean like ?==,do you mean like ?==,qy.%-,qy.%-
Bmr026-c5_0530710_0533140,like being able to scroll through it and stuff for the demo .,like being able to scroll through it and stuff for the demo .,s^bu^rt,s^bu^rt
Bmr026-c4_0532580_0532880,okay .,o_k .,s^bk,s^bk
Bmr026-c5_0534190_0534710,is that what you mean ?,is that what you mean ?,qy^rt,qy^rt
Bmr026-c0_0534220_0534940,yeah jus- - yeah .,yeah jus- - yeah .,s^aa,s^aa
Bmr026-c5_0534970_0535130,yeah .,yeah .,b,b
Bmr026-c0_0535010_0535800,it just seems to me jus- ==,it just seems to me jus- ==,s.%--,s.%--
Bmr026-c4_0535240_0536650,it would be cool to see it .,it would be cool to see it .,s.x,s.x
Bmr026-c4_0536650_0540320,it would be cool like to see - to hear it and see it .,it would be cool like to see - to hear it and see it .,s,s
Bmr026-c2_0539016_0539956,and to hear it .,and to hear it .,s^2,s^2
Bmr026-c2_0539956_0540236,yeah .,yeah .,b,b
Bmr026-c4_0540420_0542040,and see the pitch contours also .,and see the pitch contours also .,s,s
Bmr026-c2_0540676_0540836,yeah .,yeah .,b,b
Bmr026-c2_0542155_0542325,yeah .,yeah .,b,b
Bmr026-c0_0542578_0546808,sure | but i don't think - i - you can do all that just statically in powerpoint .,sure | but i don't think - i - you can do all that just statically in powerpoint .,s^aap|s^nd,s^aap|s^nd
Bmr026-c4_0542630_0543620,i think it would lose ==,i think it would lose ==,s.%-,s.%-
Bmr026-c4_0547350_0548340,yeah i mean y- ==,yeah i mean y- ==,s.%-,s.%-
Bmr026-c0_0548043_0550853,just record the audio clip and show an image and i think that's ==,just record the audio clip and show an image and i think that's ==,s.%-,s.%-
Bmr026-c4_0548720_0549820,right right .,right right .,fg,fg
Bmr026-c4_0550360_0556570,i just thought if you meant slides i thought you meant like just like um - view graphs or something .,i just thought if you meant slides i thought you meant like just like um - view graphs or something .,s^df,s^df
Bmr026-c1_0556486_0557086,you know wh- ==,you know wh- ==,%--,%--
Bmr026-c1_0557086_0557406,yeah .,yeah .,fg,fg
Bmr026-c1_0557406_0558326,so uh ==,so uh ==,%--,%--
Bmr026-c1_0558326_0559646,no we're talking about on the computer .,no we're talking about on the computer .,s,s
Bmr026-c4_0559810_0560080,right .,right .,b,b
Bmr026-c1_0559886_0565476,and - and um - | i think when we were talking about this before we had littl- - this little demo meeting .,and - and um - | i think when we were talking about this before we had littl- - this little demo meeting .,fg|s,fg|s
Bmr026-c1_0566046_0570376,we sort of set up a range of different degrees of liveness that you could have .,we sort of set up a range of different degrees of liveness that you could have .,s,s
Bmr026-c1_0570986_0577156,and the more live the better but uh - given the crunch of time we may have to retreat from it to some extent .,and the more live the better but uh - given the crunch of time we may have to retreat from it to some extent .,s,s
Bmr026-c1_0577156_0585566,so i think - for a lot of reasons i think it would be very nice to have this transcriber interface be able to show some other interesting signal along with it .,so i think - for a lot of reasons i think it would be very nice to have this transcriber interface be able to show some other interesting signal along with it .,s,s
Bmr026-c3_0583848_0584328,uhhuh .,mm-hmm .,b,b
Bmr026-c1_0585626_0587396,so it'd be a good thing to get in there .,so it'd be a good thing to get in there .,s,s
Bmr026-c1_0587686_0587886,but ==,but ==,fh,fh
Bmr026-c1_0588776_0595025,um - | anyway jus- - just looking for ways that we could actually show what you're doing uh - in - to people .,um - | anyway jus- - just looking for ways that we could actually show what you're doing uh - in - to people .,fh|s,fh|s
Bmr026-c4_0593150_0593460,uhhuh .,mm-hmm .,b,b
Bmr026-c1_0596029_0603479,because a lot of this stuff particularly for communicator uh - certainly a significant chunk of the things that we waved our arms about th- - originally had t- - had to do with prosodics .,cuz a lot of this stuff particularly for communicator uh - certainly a significant chunk of the things that we waved our arms about th- - originally had t- - had to do with prosodics .,s,s
Bmr026-c1_0604294_0607473,it'd be nice to show that we can actually get them and see them .,it'd be nice to show that we can actually get them and see them .,s,s
Bmr026-c4_0605799_0606579,uhhuh .,mm-hmm .,b,b
Bmr026-c3_0606163_0606573,huh .,mmm .,b,b
Bmr026-c0_0612030_0615560,and the last i- - item on the agenda is disk issues yet again .,and the last i- - item on the agenda is disk issues yet again .,s^tc,s^tc
Bmr026-c0_0615560_0617830,so we're doing okay on backed up .,so we're doing o_k on backed up .,s,s
Bmr026-c0_0617880_0621660,we're - we're only about thirty per cent on the second disk .,we're - we're only about thirty percent on the second disk .,s,s
Bmr026-c0_0622350_0626360,so uh - we have a little bit of time before that becomes critical .,so uh - we have a little bit of time before that becomes critical .,s,s
Bmr026-c0_0626360_0632050,but we are like ninety five per cent ninety eight per cent on the scratch disks for the expanded meetings .,but we are like ninety five percent ninety eight percent on the scratch disks for the expanded meetings .,s,s
Bmr026-c2_0632362_0632512,yeah .,yeah .,b,b
Bmr026-c0_0633170_0637730,and my original intention was like we would just delete them as we needed more space .,and my original intention was like we would just delete them as we needed more space .,s^rt,s^rt
Bmr026-c0_0637730_0644550,but unfortunately we're in the position where we have to deal with all the meeting data all at once in a lot of different ways .,but unfortunately we're in the position where we have to deal with all the meeting data all at once in a lot of different ways .,s,s
Bmr026-c2_0644669_0644889,yeah .,yeah .,b,b
Bmr026-c5_0644680_0646040,oh there's a lot of transcribers too .,oh there's a lot of transcribers too .,s,s
Bmr026-c0_0646305_0647355,yeah | there're a lot of transcribers .,yeah | there're a lot of transcribers .,s^bk|s^m,s^bk|s^m
Bmr026-c2_0646545_0646735,yeah .,yeah .,b,b
Bmr026-c0_0647355_0649085,so all of those need to be expanded .,so all of those need to be expanded .,s^cs,s^cs
Bmr026-c5_0648968_0649398,uhhuh .,mm-hmm .,b,b
Bmr026-c0_0649085_0657070,and then people are doing chunking and i want to do uh - uh - uh - the permission forms .,and then people are doing chunking and i want to do uh - uh - uh - the permission forms .,s^rt^t,s^rt^t
Bmr026-c2_0650153_0650473,an- ==,an- ==,%-,%-
Bmr026-c5_0653470_0653740,right .,right .,b,b
Bmr026-c0_0657070_0660290,so i want those to be live so there's a lot of data that has to be around .,so i want those to be live so there's a lot of data that has to be around .,s,s
Bmr026-c0_0661190_0665830,um - | and jane was going to talk to uh - dave johnson about it .,um - | and jane was gonna talk to uh - dave johnson about it .,fh|s,fh|s
Bmr026-c0_0665830_0668490,one of the things i was thinking is we - we just got these hundred ==,one of the things i was thinking is we - we just got these hundred ==,s.%--,s.%--
Bmr026-c0_0668680_0669300,all right excuse me .,alright excuse me .,s^fa,s^fa
Bmr026-c0_0669300_0674800,ten uh - sparc blade sun blades .,ten uh - sparc-blade sun-blades .,s,s
Bmr026-c1_0672802_0673372,did they come in ?,did they come in ?,qy^rt,qy^rt
Bmr026-c5_0673650_0674080,sun blades .,sun-blades .,s^r,s^r
Bmr026-c5_0674080_0674230,yeah .,yeah .,s^aa,s^aa
Bmr026-c3_0674272_0674602,yeah .,yeah .,b,b
Bmr026-c5_0674380_0675130,they came in the other day .,they came in the other day .,s,s
Bmr026-c0_0674920_0676530,they came in but they're not set up yet .,they came in but they're not set up yet .,s^r,s^r
Bmr026-c1_0675550_0675800,oh .,oh .,s^bk,s^bk
Bmr026-c0_0676530_0681600,and so it seems to me we could hang scratch disk on those because they'll be in the machine room .,and so it seems to me we could hang scratch disk on those because they'll be in the machine room .,s^cs,s^cs
Bmr026-c0_0681600_0684440,they'll be on the fast connection to the rest of the machines .,they'll be on the fast connection to the rest of the machines .,s^e,s^e
Bmr026-c0_0684910_0688080,and if we just need un backed up space we could just hang disks off them .,and if we just need un-backed-up space we could just hang disks off them .,s,s
Bmr026-c5_0688260_0689470,well is there ?==,well is there ?==,qy.%--,qy.%--
Bmr026-c5_0689470_0690920,why not just hang them off of abbott ?,why not just hang them off of abbott ?,qw^cs^nd,qw^cs^nd
Bmr026-c5_0690920_0691410,is there a ?==,is there a ?==,qy.%-,qy.%-
Bmr026-c1_0691502_0691752,yeah .,yeah .,b,b
Bmr026-c0_0691650_0694350,because there's no more room in the disk racks on abbott .,because there's no more room in the disk racks on abbott .,s,s
Bmr026-c5_0693000_0693380,uh .,ah .,s^bk,s^bk
Bmr026-c5_0694720_0695410,uh i see .,ah i see .,s^bk,s^bk
Bmr026-c1_0695201_0695871,weren't we going to get ?==,weren't we gonna get ?==,qy^bu.%--,qy^bu.%--
Bmr026-c1_0695901_0697591,well maybe it should get another rack .,well maybe it should get another rack .,s^cs,s^cs
Bmr026-c3_0696680_0698600,but you still need to store the disks somehow .,but you still need to store the disks somehow .,s,s
Bmr026-c0_0699690_0702050,well but the sun blades have spare drive bays .,well but the sun-blades have spare drive bays .,s,s
Bmr026-c3_0699785_0700045,so ==,so ==,%-,%-
Bmr026-c5_0703720_0704900,you can put two ==,you can put two ==,s^cs.%--,s^cs.%--
Bmr026-c0_0703960_0704680,just put them in .,just put them in .,s^co,s^co
Bmr026-c3_0705410_0708080,oh you mean you put them inside the pizza boxes for the ?==,oh you mean you put them inside the pizza boxes for the ?==,qy^bu^d^rt.%-,qy^bu^d^rt.%-
Bmr026-c2_0706520_0707000,internal .,internal .,s,s
Bmr026-c0_0706716_0706906,sure .,sure .,b,b
Bmr026-c2_0707070_0707260,yeah .,yeah .,b.%,b.%
Bmr026-c0_0707824_0707964,yeah .,yeah .,s^aa,s^aa
Bmr026-c3_0709106_0709336,oh .,oh .,s^bk,s^bk
Bmr026-c0_0709140_0711960,because the sun - uh - these sun blades take commodity hard drives .,cuz the sun - uh - these sun-blades take commodity hard drives .,s,s
Bmr026-c0_0711960_0715880,so you can just go out and buy a p c hard drive and stick it in .,so you can just go out and buy a p_c hard drive and stick it in .,s,s
Bmr026-c3_0714660_0715100,huh .,mmm .,b,b
Bmr026-c1_0716148_0724368,but if abbott is going to be our disk server it - it - file server it seems like we would want to get it uh - a second disk rack or something .,but if abbott is going to be our disk server it - it - file server it seems like we would want to get it uh - a second disk rack or something .,s^cs,s^cs
Bmr026-c3_0725600_0728340,plus we're talking about buying a second dis- - uh - file server .,plus we're talking about buying a second dis- - uh - file server .,s^e^rt,s^e^rt
Bmr026-c0_0729550_0731410,well i mean there are lots of long term solutions .,well i mean there are lots of long term solutions .,s^ba,s^ba
Bmr026-c0_0731410_0734310,what i'm looking for is where do we s- - expand the next meeting ?,what i'm looking for is where do we s- - expand the next meeting ?,qh,qh
Bmr026-c2_0734430_0734630,yep .,yep .,b,b
Bmr026-c3_0735350_0737160,i see oh i see .,i see oh i see .,s^bk,s^bk
Bmr026-c1_0736765_0738995,well for the next meeting you might be out of luck with those ten .,well for the next meeting you might be out of luck with those ten .,s,s
Bmr026-c1_0738995_0739455,mightn't you ?,mightn't you ?,qy^g,qy^g
Bmr026-c1_0739545_0742455,uh - | you know dave johnson is gone for like ten days .,uh - | you know dave johnson is gone for like ten days .,fh|s^df^f,fh|s^df^f
Bmr026-c0_0742562_0743702,oh i didn't know he had left already .,oh i didn't know he had left already .,s^no,s^no
Bmr026-c1_0743854_0745244,uh - | well tonight .,uh - | well tonight .,h|s^bsc,h|s^bsc
Bmr026-c0_0745549_0746179,oh oh well .,oh oh well .,s^by,s^by
Bmr026-c3_0746497_0747657,you mean he won't set up the ?==,you mean he won't set up the ?==,qy^bu^d.%--,qy^bu^d.%--
Bmr026-c3_0747927_0748297,huh .,mmm .,b,b
Bmr026-c4_0748730_0749920,how much space do you need for these ?,how much space do you need for these ?,qw^rt,qw^rt
Bmr026-c1_0749153_0749593,i don't know .,i don't know .,s^no,s^no
Bmr026-c1_0750153_0751193,i don't know what his schedule is .,i don't know what his schedule is .,s^no,s^no
Bmr026-c0_0750703_0752243,you - we need about a gig per meeting .,you - we need about a gig per meeting .,s,s
Bmr026-c1_0751193_0752033,i'm just saying he's gone .,i'm just saying he's gone .,s,s
Bmr026-c5_0751920_0752720,i - i thi- ==,i - i thi- ==,%-,%-
Bmr026-c2_0752110_0752390,yep .,yep .,b,b
Bmr026-c4_0752690_0756410,i have um - i have an eighteen gig drive hanging off of my computer .,i have um - i have an eighteen gig drive hanging off of my computer .,s,s
Bmr026-c0_0756747_0757207,all right !,alright !,s^ba^fe,s^ba^fe
Bmr026-c4_0757470_0757990,so ==,so ==,h,h
Bmr026-c0_0757787_0758727,what's your computer's name ?,what's your computer's name ?,qw^rt,qw^rt
Bmr026-c4_0758980_0760160,uh - | samosa .,uh - | samosa .,h|s^rt,h|s^rt
Bmr026-c1_0760464_0761924,you had an eighteen gigabyte drive .,you had an eighteen gigabyte drive .,s^bc,s^bc
Bmr026-c4_0761540_0762110,yeah i had .,yeah i had .,s^aa,s^aa
Bmr026-c4_0762110_0764660,well it's about - i think there's about twelve gig left .,well it's about - i think there's about twelve gig left .,s,s
Bmr026-c0_0765007_0767447,so it - and you have an x drives installed ?,so it - and you have an x_ drives installed ?,qy^bu^d^rt,qy^bu^d^rt
Bmr026-c4_0767440_0767630,yeah .,yeah .,s^aa,s^aa
Bmr026-c0_0767867_0768137,okay .,o_k .,s^bk,s^bk
Bmr026-c4_0768630_0770910,so | i didn't realize it was so critical .,so | i didn't realize it was so critical .,fg|s,fg|s
Bmr026-c0_0769350_0770430,and you're o- - you're offering ?==,and you're o- - you're offering ?==,qy^d.%-,qy^d.%-
Bmr026-c4_0770910_0777300,i mean i'm not doing anything on it right now until i get new meetings to transcri- - or that are - new transcriptions coming in i really can't do anything .,i mean i'm not doing anything on it right now until i get new meetings to transcri- - or that are - new transcriptions coming in i really can't do anything .,s,s
Bmr026-c0_0777435_0777675,okay .,o_k .,s^bk,s^bk
Bmr026-c5_0777490_0784840,i - i jus- - i just gave thilo some - about ten gigs the last ten gigs of space that there was on - on uh - abbott .,i - i jus- - i just gave thilo some - about ten gigs the last ten gigs of space that there was on - on uh - abbott .,s,s
Bmr026-c4_0777888_0779388,um - not that i can't do anything i jus- ==,um - not that i can't do anything i jus- ==,s.%-,s.%-
Bmr026-c5_0785700_0787570,uh - and uh ==,uh - and uh ==,fh,fh
Bmr026-c5_0788050_0789010,so but that - but ==,so but that - but ==,s.%--,s.%--
Bmr026-c0_0789387_0790087,which one was that ?,which one was that ?,qw,qw
Bmr026-c0_0790087_0791297,x g ?,x_ g_ ?,qy^d^g^rt,qy^d^g^rt
Bmr026-c2_0790220_0790870,x g .,x_g .,s,s
Bmr026-c5_0790967_0791637,x g .,x_g .,s^m,s^m
Bmr026-c0_0791757_0792017,okay .,o_k .,s^bk,s^bk
Bmr026-c5_0793292_0793622,yeah .,yeah .,b,b
Bmr026-c3_0793620_0794140,x g ?,x_g ?,qw^bu^d^rt,qw^bu^d^rt
Bmr026-c3_0795090_0800990,that's also where we store the - the uh - hub five training set waveforms .,that's also where we store the - the uh - hub-five training set waveforms .,s^bu,s^bu
Bmr026-c2_0800509_0800789,oops .,oops .,s^fa,s^fa
Bmr026-c5_0800922_0801912,no .,no .,s^ar,s^ar
Bmr026-c3_0800990_0801240,right ?,right ?,qy^d^g,qy^d^g
Bmr026-c0_0801101_0802251,but that won't be getting any bigger .,but that won't be getting any bigger .,s^bu,s^bu
Bmr026-c5_0802052_0803232,i don't think that's on x g .,i don't think that's on x_g .,s,s
Bmr026-c0_0802251_0802581,will it ?,will it ?,qy^g,qy^g
Bmr026-c3_0802570_0802810,right .,right .,s^aa,s^aa
Bmr026-c5_0803232_0805942,on x g is only carmen and du- - and stephane's disk .,on x_g is only carmen and du- - and stephane's disk .,s,s
Bmr026-c2_0804318_0804498,it's ==,it's ==,%,%
Bmr026-c3_0804320_0807470,but i've also been storing - i've been storing the feature files there .,but i've also been storing - i've been storing the feature files there .,s,s
Bmr026-c2_0804638_0804878,yeah .,yeah .,b,b
Bmr026-c3_0807470_0812140,and i guess i can s- - start deleting some because we now know what the best features are .,and i guess i can s- - start deleting some because we now know what the best features are .,s,s
Bmr026-c4_0810264_0810574,well ==,well ==,fg,fg
Bmr026-c3_0812140_0813830,and we won't be using the old ones anymore .,and we won't be using the old ones anymore .,s,s
Bmr026-c5_0814240_0815770,yeah i do- - i don't think it was on x g .,yeah i do- - i don't think it was on x_g .,s^r,s^r
Bmr026-c4_0814350_0815640,i have a lot of space though .,i have a lot of space though .,s,s
Bmr026-c3_0814880_0818570,uh - oh thats x. a - oh that's x ==,uh - oh thats x_a - oh that's x_ ==,s.%--,s.%--
Bmr026-c2_0815849_0816679,isn't that x h ?,isn't that x_h ?,qy^bu^rt,qy^bu^rt
Bmr026-c5_0816090_0816270,i th- ==,i th- ==,%-,%-
Bmr026-c4_0816890_0818560,i have a lot of space and it's not - it's n- ==,i have a lot of space and it's not - it's n- ==,s.%-,s.%-
Bmr026-c0_0816947_0817797,not - not for long .,not - not for long .,s,s
Bmr026-c4_0818560_0819700,there's very little uh ==,there's very little uh ==,s.%--,s.%--
Bmr026-c4_0819700_0819830,yeah .,yeah .,s^aa,s^aa
Bmr026-c4_0819830_0820470,not for long .,not for long .,s^m,s^m
Bmr026-c4_0820550_0821710,but i mean it's not going f- ==,but i mean it's not going f- ==,s.%-,s.%-
Bmr026-c3_0820720_0821480,maybe i'm confu- ==,maybe i'm confu- ==,s.%--,s.%--
Bmr026-c3_0821830_0822630,oh no i'm sorry .,oh no i'm sorry .,s^fa,s^fa
Bmr026-c4_0821860_0824150,it's not being used often at all .,it's not being used often at all .,s,s
Bmr026-c2_0822810_0824360,but i'm using x h - h too .,but i'm using x_h - h_ too .,s,s
Bmr026-c0_0824257_0828347,yeah it's probably - probably only about four gig is on x - on your x drive .,yeah it's probably - probably only about four gig is on x_ - on your x_ drive .,s,s
Bmr026-c2_0824360_0824600,so ==,so ==,s.%-,s.%-
Bmr026-c3_0824670_0825340,oh okay .,oh o_k .,s^bk,s^bk
Bmr026-c0_0828347_0829867,but we'll definitely take it up if you ==,but we'll definitely take it up if you ==,s.%-,s.%-
Bmr026-c4_0828381_0828751,i th- ==,i th- ==,%-,%-
Bmr026-c3_0829190_0829780,i think you're right .,i think you're right .,s^na,s^na
Bmr026-c4_0829440_0830930,i think it's about four or five gig .,i think it's about four or five gig .,s,s
Bmr026-c3_0829780_0831210,it's x h and d ==,it's x_h and d_ ==,s.%-,s.%-
Bmr026-c4_0830930_0833490,because i have four meetings on there .,cuz i have four meetings on there .,s,s
Bmr026-c3_0831680_0832010,the b- ==,the b- ==,%-,%-
Bmr026-c3_0832160_0833180,i'm also using d g .,i'm also using d_g .,s,s
Bmr026-c3_0833180_0834070,i got that confused .,i got that confused .,s,s
Bmr026-c4_0833490_0834510,three or four meetings .,three or four meetings .,s,s
Bmr026-c3_0834310_0834550,okay - k .,o_k - {k} .,s,s
Bmr026-c0_0835120_0835300,great .,great .,s^ba^tc,s^ba^tc
Bmr026-c4_0835230_0835560,so ==,so ==,s.%--,s.%--
Bmr026-c1_0836169_0836969,we need ==,we need ==,s.%-,s.%-
Bmr026-c0_0836280_0838140,okay so that will get us through the next couple days .,o_k so that will get us through the next couple days .,s^tc,s^tc
Bmr026-c1_0839162_0840502,we need another gigaquad .,we need another gigaquad .,s^cs^j,s^cs^j
Bmr026-c0_0840639_0840969,yep .,yep .,s^aa,s^aa
Bmr026-c0_0841029_0841739,at least .,at least .,s^e,s^e
Bmr026-c1_0845500_0847840,there should - i d- - there should just be a b- - i should have a button .,there should - i d- - there should just be a b- - i should have a button .,s,s
Bmr026-c1_0848777_0853837,just press - press each meeting saying we need more disk space this week .,just press - press each meeting saying we need more disk space this week .,s,s
Bmr026-c0_0849040_0850480,the more disk space button ?,the more disk space button ?,qy^d^rt,qy^d^rt
Bmr026-c0_0851440_0851860,yep .,yep .,b,b
Bmr026-c1_0854167_0855377,skip the rest of the conversation .,skip the rest of the conversation .,s^co,s^co
Bmr026-c5_0856190_0860860,well we've collected so far something like uh - sixty five meetings .,well we've collected so far something like uh - sixty-five meetings .,s,s
Bmr026-c5_0861659_0865130,and it's about a gig uncompressed .,and it's about a gig uncompressed .,s,s
Bmr026-c1_0861681_0863671,and - and how much does each meeting take ?,and - and how much does each meeting take ?,qw^rt,qw^rt
Bmr026-c2_0866300_0872240,it's - it's a little bit more as i usually don't - do not uncompress the - all of the p z m and the p d a things .,it's - it's a little bit more as i usually don't - do not uncompress the - all of the p_z_m and the p_d_a things .,s^bc,s^bc
Bmr026-c5_0867844_0868294,is a little more ?,is a little more ?,qy^bu^m^rt,qy^bu^m^rt
Bmr026-c5_0872300_0874440,right | yeah so if you uncompressed everything it's even more .,right | yeah so if you uncompressed everything it's even more .,s^bk|s,s^bk|s
Bmr026-c2_0872560_0872780,so ==,so ==,%-,%-
Bmr026-c2_0873370_0873680,it's ==,it's ==,%-,%-
Bmr026-c2_0874188_0874288,yeah .,yeah .,b,b
Bmr026-c2_0874670_0875830,one point five or something .,one point five or something .,s,s
Bmr026-c5_0874750_0876210,u- - uh compressed how much are they ?,u- - uh compressed how much are they ?,qw,qw
Bmr026-c5_0876210_0876620,like ==,like ==,%-,%-
Bmr026-c0_0877190_0877700,half a gig .,half a gig .,s,s
Bmr026-c5_0877976_0878406,about half ?,about half ?,qy^bh^d^rt,qy^bh^d^rt
Bmr026-c0_0878390_0879020,for all of them .,for all of them .,s,s
Bmr026-c2_0878530_0878870,yeah .,yeah .,b,b
Bmr026-c2_0879460_0879570,yeah .,yeah .,b,b
Bmr026-c2_0879940_0880120,yep .,yep .,b,b
Bmr026-c5_0881580_0884780,so we're definitely are storing you know all of those .,so we're definitely are storing you know all of those .,s,s
Bmr026-c5_0885520_0886210,so there's what ?,so there's what ?,qw^t1,qw^t1
Bmr026-c5_0886340_0890110,thirty some gig of just meetings so far ?,thirty some gig of just meetings so far ?,qy^bs,qy^bs
Bmr026-c1_0888661_0893381,so - so - so maybe there's a hundred gig or something .,so- - so- - so maybe there's a hundred gig or something .,s,s
Bmr026-c1_0893381_0893411,or ==,or ==,fh.%,fh.%
Bmr026-c5_0894687_0895217,uhhuh .,mm-hmm .,b,b
Bmr026-c1_0895067_0897147,i mean because we - we have the uncompressed around also .,i mean cuz we - we have the uncompressed around also .,s,s
Bmr026-c5_0896556_0896806,right .,right .,b,b
Bmr026-c2_0897060_0897220,yeah .,yeah .,b,b
Bmr026-c1_0897147_0897677,so it's like ==,so it's like ==,s.%-,s.%-
Bmr026-c5_0897346_0897556,right .,right .,b,b
Bmr026-c5_0897596_0899396,well we - we haven't uncompressed all the meetings .,well we - we haven't uncompressed all the meetings .,s,s
Bmr026-c5_0899396_0899566,but ==,but ==,fh,fh
Bmr026-c0_0900790_0901380,i would like to .,i would like to .,s,s
Bmr026-c1_0903875_0904035,yeah .,yeah .,b,b
Bmr026-c1_0904745_0907365,well i mean it's - the- - they really are cheap .,well i mean it's - the- - they really are cheap .,s,s
Bmr026-c1_0907655_0910685,i mean it's just a question of figuring out where they should be and hanging them .,i mean it's just a question of figuring out where they should be and hanging them .,s,s
Bmr026-c5_0909780_0910160,right .,right .,b,b
Bmr026-c0_0910133_0910343,yep .,yep .,b,b
Bmr026-c1_0910685_0915206,but - but uh - we could - you know if you want to get four disks get four disks .,but - but uh - we could - you know if you want to get four disks get four disks .,s,s
Bmr026-c1_0915206_0919196,i mean it's - it's small - i mean these things ar- - are just a few hundred dollars .,i mean it's - it's small - i mean these things ar- - are just a few hundred dollars .,s,s
Bmr026-c5_0919570_0919740,yeah .,yeah .,b,b
Bmr026-c5_0919740_0924900,well i sent that message out to i guess you and dave asking for - if we could get some disk .,well i sent that message out to i guess you and dave asking for - if we could get some disk .,s,s
Bmr026-c1_0922511_0922821,yeah .,yeah .,b,b
Bmr026-c5_0924900_0927660,i s- - i sent this out a - a day ago .,i s- - i sent this out a - a day ago .,s,s
Bmr026-c0_0925467_0926257,and put it where ?,and put it where ?,qw,qw
Bmr026-c1_0925799_0926059,right .,right .,b,b
Bmr026-c5_0927660_0932066,but - and dave didn't respond so i don- - i don't know how the whole process works .,but - and dave didn't respond so i don- - i don't know how the whole process works .,s,s
Bmr026-c5_0932066_0934926,i mean does he just go out and get them and - if it's okay and ?==,i mean does he just go out and get them and - if it's o_k and ?==,qy.%--,qy.%--
Bmr026-c0_0934170_0934310,yep .,yep .,b,b
Bmr026-c5_0935810_0937790,so i was assuming he was going to take over that .,so i was assuming he was gonna take over that .,s,s
Bmr026-c5_0937790_0939820,but he's probably too busy given that he's leaving .,but he's probably too busy given that he's leaving .,s,s
Bmr026-c1_0939774_0941814,yeah i think you need a direct conversation with him .,yeah i think you need a direct conversation with him .,s^cs,s^cs
Bmr026-c1_0941994_0944934,and just say an e- - just ask him that you know wha- - what should you do .,and just say an-e- - just ask him that you know wha- - what should you do .,s^cs:qw,s^cs:qw
Bmr026-c1_0945474_0947964,and in my answer back was are you sure you just want one .,and in my answer back was are you sure you just want one .,s:qy,s:qy
