Bmr019-c4_0000363_0001383,okay | we're on .,o_k | we're on .,s^bk|s^t,s^bk|s^t
Bmr019-c2_0869444_0869654,yeah .,yeah .,b,b
Bmr019-c4_0869737_0870217,digits .,digits .,s,s
Bmr019-c4_0870867_0871687,adaptation .,adaptation .,s^e,s^e
Bmr019-c1_0871493_0874033,uh adaptation non adaptation .,uh adaptation non-adaptation .,s,s
Bmr019-c1_0874675_0876485,um factor of two .,um factor of two .,s,s
Bmr019-c1_0878107_0878697,um ==,um ==,fh,fh
Bmr019-c5_0878831_0880951,what k- - u- - by the way wh- - what factor of two did you ?==,what k- - u- - by the way wh- - what factor of two did you ?==,qw^rt.%-,qw^rt.%-
Bmr019-c1_0879257_0880157,oh yeah | i know what i was go- - w- - .,oh yeah | i know what i was go- - w- - .,fg|s,fg|s
Bmr019-c5_0880951_0881311,i mean ==,i mean ==,%--,%--
Bmr019-c1_0880976_0881656,oh no no .,oh no no .,s^bk,s^bk
Bmr019-c1_0881656_0885686,it's tha- - that - that we were saying you know well is - how much worse is far than near you know .,it's tha- - that - that we were saying you know well is - how much worse is far than near you know .,s,s
Bmr019-c5_0884520_0885440,oh th- - okay .,oh th- - o_k .,s^bk,s^bk
Bmr019-c1_0885686_0887556,and i mean it depends on which one you're looking at .,and i mean it depends on which one you're looking at .,s,s
Bmr019-c5_0885750_0886510,that factor of two .,that factor of two .,s,s
Bmr019-c5_0887500_0887940,uhhuh .,mm-hmm .,b,b
Bmr019-c1_0887556_0890307,but for the everybody it's little under a factor or two .,but for the everybody it's little under a factor or two .,s:s,s:s
Bmr019-c1_0890822_0903549,yeah | i - i know what i was thinking was that maybe uh i- - i- - we could actually t- - t- - try at least looking at uh some of the - the large vocabulary speech from a far microphone .,yeah | i - i know what i was thinking was that maybe uh i- - i- - we could actually t- - t- - try at least looking at uh some of the - the large vocabulary speech from a far microphone .,fg|s,fg|s
Bmr019-c1_0903549_0904509,at least from the good one .,at least from the good one .,s^e,s^e
Bmr019-c5_0903682_0904472,uhhuh .,mm-hmm .,b,b
Bmr019-c1_0905159_0908539,i mean before i thought we'd get you know a hundred and fifty percent error or something .,i mean before i thought we'd get you know a hundred and fifty percent error or something .,s,s
Bmr019-c5_0908197_0909517,uhhuh .,mm-hmm .,b,b
Bmr019-c1_0908539_0914602,but if - if uh - if we're getting thirty five forty percent or something u- - um ==,but if - if uh - if we're getting thirty-five forty percent or something u- - um ==,s.%-,s.%-
Bmr019-c0_0914000_0922659,actually if you run though on a close talking mike over the whole meeting during all those silences you get like four hundred percent word error .,actually if you run though on a close-talking mike over the whole meeting during all those silences you get like four hundred percent word error .,s,s
Bmr019-c1_0920604_0921064,uhhuh .,mm-hmm .,b,b
Bmr019-c1_0922731_0923711,right | i understand .,right | i understand .,s^aa|s^na,s^aa|s^na
Bmr019-c1_0923711_0925521,but doing the same kind of limited thing ==,but doing the same kind of limited thing ==,s^df.%-,s^df.%-
Bmr019-c0_0925159_0926599,or - or some high number .,or - or some high number .,s^e,s^e
Bmr019-c1_0926676_0927196,yeah sure .,yeah sure .,s^bk,s^bk
Bmr019-c1_0927526_0928346,get all these insertions .,get all these insertions .,s^na,s^na
Bmr019-c1_0928346_0934941,but i'm saying if you do the same kind of limited thing as people have done in switchboard evaluations or as - a- ==,but i'm saying if you do the same kind of limited thing as people have done in switchboard evaluations or as - a- ==,s^cs^df.%-,s^cs^df.%-
Bmr019-c0_0929250_0929510,yeah .,yeah .,b,b
Bmr019-c0_0934303_0936743,where you know who the speaker is and there's no overlap ?,where you know who the speaker is and there's no overlap ?,qy^bu^d^rt,qy^bu^d^rt
Bmr019-c1_0936981_0937381,yeah .,yeah .,s^aa,s^aa
Bmr019-c0_0937180_0939190,and you do just the far field for those regions ?,and you do just the far-field for those regions ?,qy^bu^d^e^rt,qy^bu^d^e^rt
Bmr019-c1_0940086_0942116,yeah | the same sort of numbers that we got those graphs from .,yeah | the same sort of numbers that we got those graphs from .,s^aa|s^na,s^aa|s^na
Bmr019-c4_0941690_0945270,could we do exactly the same thing that we're doing now but do it with a far field mike .,could we do exactly the same thing that we're doing now but do it with a far-field mike .,s^bu,s^bu
Bmr019-c1_0942116_0942406,right ?,right ?,qy^d^g,qy^d^g
Bmr019-c1_0945427_0946407,yeah | do it with one of - on- ==,yeah | do it with one of - on- ==,s^aa|s.%-,s^aa|s.%-
Bmr019-c4_0945740_0947860,because we extract the times from the near field mike .,cuz we extract the times from the near-field mike .,s^df,s^df
Bmr019-c4_0947860_0949810,but you use the acoustics from the far field mike .,but you use the acoustics from the far-field mike .,s,s
Bmr019-c0_0949533_0950693,right | i understand that .,right | i understand that .,s^aa|s^na,s^aa|s^na
Bmr019-c0_0950693_0953603,i just meant that - so you have three choices .,i just meant that - so you have three choices .,s,s
Bmr019-c0_0953603_0964967,there's um you can use times where that person is talking only from the transcripts but the segmentations were - were synchronized .,there's um you can use times where that person is talking only from the transcripts but the segmentations were - were synchronized .,s,s
Bmr019-c0_0965437_0973189,or you can do a forced alignment on the close talking to determine that the- - you know within this segment these really were the times that this person was talking .,or you can do a forced alignment on the close-talking to determine that the- - you know within this segment these really were the times that this person was talking .,s,s
Bmr019-c0_0973189_0975419,and elsewhere in the segment other people are overlapping .,and elsewhere in the segment other people are overlapping .,s,s
Bmr019-c0_0975419_0976749,and just front end those pieces .,and just front-end those pieces .,s,s
Bmr019-c0_0977578_0979078,or you can run it on the whole data .,or you can run it on the whole data .,s,s
Bmr019-c0_0979078_0981227,which is - which is you know a ==,which is - which is you know a ==,s.%-,s.%-
Bmr019-c1_0980272_0989040,but - but - but how did we get the - how did we determine the links uh that we're testing on in the stuff we reported ?,but - but - but how did we get the - how did we determine the links uh that we're testing on in the stuff we reported ?,qw,qw
Bmr019-c0_0989340_0994010,in the h. l. t paper we took segments that are channel - time aligned .,in the h_l_t paper we took segments that are channel - time-aligned .,s,s
Bmr019-c0_0994150_0997090,which is now h- - being changed in the transcription process .,which is now h- - being changed in the transcription process .,s,s
Bmr019-c0_0997090_0997780,which is good .,which is good .,s,s
Bmr019-c0_0998296_1003190,and we took cases where the transcribers said there was only one person talking here .,and we took cases where the transcribers said there was only one person talking here .,s:s,s:s
Bmr019-c0_1003230_1007370,because no one else had time any words in that segment .,because no one else had time any words in that segment .,s^df,s^df
Bmr019-c0_1007370_1008770,and called that non overlap .,and called that non-overlap .,s:s,s:s
Bmr019-c1_1007420_1007730,and tha- ==,and tha- ==,%-,%-
Bmr019-c1_1008770_1011270,and that's what we were getting those numbers from .,and that's what we were getting those numbers from .,s^bu,s^bu
Bmr019-c0_1010380_1010670,yes .,yes .,s^aa,s^aa
Bmr019-c1_1011630_1011930,right .,right .,s^bk,s^bk
Bmr019-c0_1011720_1013190,tho- - good - the good numbers .,tho- - good - the good numbers .,s^e,s^e
Bmr019-c0_1013270_1017040,the bad numbers were from the segments where there was overlap .,the bad numbers were from the segments where there was overlap .,s,s
Bmr019-c1_1016310_1017600,well we could start with the good ones .,well we could start with the good ones .,s^cs,s^cs
Bmr019-c1_1017600_1023080,but anyway - so i think that we should try it once with the same conditions that were used to create those .,but anyway - so i think that we should try it once with the same conditions that were used to create those .,s^cs,s^cs
Bmr019-c0_1017990_1018380,yeah .,yeah .,b,b
Bmr019-c1_1023080_1026250,and in those same segments just use one of the p. z. m.'s .,and in those same segments just use one of the p_z_ms .,s^cs^e,s^cs^e
Bmr019-c0_1025770_1027280,right | so we - we can do that .,right | so we - we can do that .,s^bk|s,s^bk|s
Bmr019-c1_1027290_1033890,and then you know i mean the thing is if we were getting uh - what thirty five forty percent something like that on - on that particular set ==,and then you know i mean the thing is if we were getting uh - what thirty-five forty percent something like that on - on that particular set ==,s.%--,s.%--
Bmr019-c0_1027340_1027570,yeah .,yeah .,b,b
Bmr019-c1_1034700_1036960,uh does it go to seventy or eighty ?,uh does it go to seventy or eighty ?,qh,qh
Bmr019-c1_1036960_1039390,or does it use up so much memory we can't decode it ?,or does it use up so much memory we can't decode it ?,qh,qh
Bmr019-c0_1037430_1037770,right .,right .,b,b
Bmr019-c0_1039880_1044220,it might also depend on which speaker th- - it is and how close they are to the p. z. m .,it might also depend on which speaker th- - it is and how close they are to the p_z_m .,s^rt,s^rt
Bmr019-c1_1040070_1040700,uh ==,uh ==,fh,fh
Bmr019-c0_1044220_1046160,i don't know how different they are from each other .,i don't know how different they are from each other .,s^no,s^no
Bmr019-c5_1044820_1048520,you want to probably choose the p. z. m channel that is closest to the speaker .,you want to probably choose the p_z_m channel that is closest to the speaker .,s^cs,s^cs
Bmr019-c0_1046860_1047740,to be best ==,to be best ==,s.%-,s.%-
Bmr019-c4_1048220_1051210,for this particular digit ones i just picked that one .,for this particular digit ones i just picked that one .,s,s
Bmr019-c3_1048240_1048500,yeah .,yeah .,b,b
Bmr019-c0_1048830_1049070,f- ==,f- ==,%-,%-
Bmr019-c1_1049410_1049830,well ==,well ==,%-,%-
Bmr019-c0_1051410_1051780,okay .,o_k .,s^bk,s^bk
Bmr019-c5_1051700_1052420,oh okay .,oh o_k .,s^bk,s^bk
Bmr019-c0_1051780_1053790,so we would then use that one too .,so we would then use that one too .,s^bu,s^bu
Bmr019-c4_1051880_1052180,so ==,so ==,%-,%-
Bmr019-c1_1052920_1054160,this is kind of central .,this is kind of central .,s,s
Bmr019-c0_1053790_1053820,or ?==,or ?==,qrr.%--,qrr.%--
Bmr019-c1_1054320_1056280,you know it's - so i- - but i would - i'd pick that one .,you know it's - so i- - but i would - i'd pick that one .,s,s
Bmr019-c1_1056280_1058170,it'll be less good for some people than for other .,it'll be less good for some people than for other .,s,s
Bmr019-c1_1058170_1062820,but i - i'd like to see it on the same - exact same data set that - that we did the other thing on .,but i - i'd like to see it on the same - exact same data set that - that we did the other thing on .,s^cs,s^cs
Bmr019-c4_1058850_1059250,actually ==,actually ==,%-,%-
Bmr019-c4_1061440_1063040,i sh- - actually should've picked a different one .,i sh- - actually should've picked a different one .,s,s
Bmr019-c1_1062820_1062970,right ?,right ?,qy^d^f^g,qy^d^f^g
Bmr019-c4_1063040_1065800,because that could be why the p. d. a is worse .,because that could be why the p_d_a is worse .,s^df,s^df
Bmr019-c4_1066650_1069240,because it's further away from most of the people reading digits .,because it's further away from most of the people reading digits .,s^df,s^df
Bmr019-c3_1067240_1068200,it's further away | yeah .,it's further away | yeah .,s^2^na|s^aa,s^2^na|s^aa
Bmr019-c3_1069900_1070100,yeah .,yeah .,b,b
Bmr019-c1_1070540_1071650,that's probably one of the reasons .,that's probably one of the reasons .,s^na,s^na
Bmr019-c2_1070570_1070930,huh .,hmm .,b,b
Bmr019-c2_1072830_1073410,uhhuh .,mm-hmm .,b,b
Bmr019-c0_1073330_1077170,well yeah | you could look at i guess that p. z. m or something .,well yeah | you could look at i guess that p_z_m or something .,fg|s^cs,fg|s^cs
Bmr019-c4_1075930_1076200,yep .,yep .,b,b
Bmr019-c1_1077290_1088770,but the other is it's very uh - i mean even though there's - i'm sure the f- - f- - the - the s. r. i uh front end has some kind of pre emphasis it's - it's uh still th- - it's picking up lots of low frequency energy .,but the other is it's very uh - i mean even though there's - i'm sure the f- - f- - the - the s_r_i uh front-end has some kind of pre-emphasis it's - it's uh still th- - it's picking up lots of low-frequency energy .,s^df^ng,s^df^ng
Bmr019-c5_1084760_1085290,uhhuh .,mm-hmm .,b,b
Bmr019-c1_1088910_1092240,so even discriminating against it i'm sure some of it's getting through .,so even discriminating against it i'm sure some of it's getting through .,s,s
Bmr019-c1_1093360_1093800,um ==,um ==,fh,fh
Bmr019-c1_1094550_1095250,but yeah you're right .,but yeah you're right .,s^na,s^na
Bmr019-c1_1095250_1096790,prob- - a part of it is just the distance .,prob- - a part of it is just the distance .,s^na,s^na
Bmr019-c0_1097960_1099600,and aren't these pretty bad microphones ?,and aren't these pretty bad microphones ?,qy^rt,qy^rt
Bmr019-c4_1099650_1099860,yep .,yep .,s^aa,s^aa
Bmr019-c0_1100370_1100550,i mean ==,i mean ==,%--,%--
Bmr019-c1_1100460_1101400,well they're bad .,well they're bad .,s^aap,s^aap
Bmr019-c1_1102620_1104750,but i mean if you listen to it it sounds okay you know .,but i mean if you listen to it it sounds o_k you know .,s^df^ng,s^df^ng
Bmr019-c4_1106640_1113130,yeah | when you listen to it uh the p. z. m and the p. d. a - yeah th- - the p. d. a has higher sound floor .,yeah | when you listen to it uh the p_z_m and the p_d_a - yeah th- - the p_d_a has higher sound floor .,fg|s,fg|s
Bmr019-c1_1106760_1107070,u- - yeah .,u- - yeah .,b.%,b.%
Bmr019-c4_1113130_1114020,but not by a lot .,but not by a lot .,s,s
Bmr019-c4_1114020_1118670,it's really pretty uh pretty much the same .,it's really pretty uh pretty much the same .,s^e,s^e
Bmr019-c0_1116800_1119470,i just remember you saying you got them to be cheap on purpose .,i just remember you saying you got them to be cheap on purpose .,s,s
Bmr019-c0_1120250_1121710,cheap in terms of their quality .,cheap in terms of their quality .,s^e,s^e
Bmr019-c0_1121710_1121950,so ==,so ==,fh,fh
Bmr019-c1_1122190_1123820,well they're twenty five cents or so .,well they're twenty-five cents or so .,s,s
Bmr019-c4_1122260_1125850,th- - we wanted them to be - to be typical of what would be in a p. d. a .,th- - we wanted them to be - to be typical of what would be in a p_d_a .,s,s
Bmr019-c1_1123930_1124040,yeah .,yeah .,b.x,b.x
Bmr019-c4_1125910_1129140,so they are they're not the p. z. m three hundred dollar type .,so they are they're not the p_z_m three hundred dollar type .,s,s
Bmr019-c0_1126250_1126590,uhhuh .,mm-hmm .,b.%,b.%
Bmr019-c4_1129140_1130180,they're the twenty five cent .,they're the twenty-five cent .,s,s
Bmr019-c1_1130660_1130900,yeah .,yeah .,b,b
Bmr019-c4_1131580_1132990,buy them in packs of thousand type .,buy them in packs of thousand type .,s,s
Bmr019-c1_1134260_1137090,but i mean the thing is people use those little mikes for everything .,but i mean the thing is people use those little mikes for everything .,s,s
Bmr019-c0_1134420_1134550,i see .,i see .,s^bk.%,s^bk.%
Bmr019-c4_1136660_1137600,everything .,everything .,s^2,s^2
Bmr019-c1_1137090_1138700,because they're really not bad .,because they're really not bad .,s^df,s^df
Bmr019-c1_1139060_1147480,i mean if you're not doing something ridiculous like feeding it to a speech recognizer they - they - they - you know you can hear the sou- - hear the sounds just fine .,i mean if you're not doing something ridiculous like feeding it to a speech recognizer they - they - they - Bdb001.dadb Bdb001.out Bdb001.trans Bed002.dadb Bed002.out Bed002.trans Bed003.dadb Bed003.out Bed003.trans Bed004.dadb Bed004.out Bed004.trans Bed005.dadb Bed005.out Bed005.trans Bed006.dadb Bed006.out Bed006.trans Bed008.dadb Bed008.out Bed008.trans Bed009.dadb Bed009.out Bed009.trans Bed010.dadb Bed010.out Bed010.trans Bed011.dadb Bed011.out Bed011.trans Bed012.dadb Bed012.out Bed012.trans Bed013.dadb Bed013.out Bed013.trans Bed014.dadb Bed014.out Bed014.trans Bed015.dadb Bed015.out Bed015.trans Bed016.dadb Bed016.out Bed016.trans Bed017.dadb Bed017.out Bed017.trans Bmr001.dadb Bmr001.out Bmr001.trans Bmr002.dadb Bmr002.out Bmr002.trans Bmr003.dadb Bmr003.out Bmr003.trans Bmr005.dadb Bmr005.out Bmr005.trans Bmr006.dadb Bmr006.out Bmr006.trans Bmr007.dadb Bmr007.out Bmr007.trans Bmr008.dadb Bmr008.out Bmr008.trans Bmr009.dadb Bmr009.out Bmr009.trans Bmr010.dadb Bmr010.out Bmr010.trans Bmr011.dadb Bmr011.out Bmr011.trans Bmr012.dadb Bmr012.out Bmr012.trans Bmr013.dadb Bmr013.out Bmr013.trans Bmr014.dadb Bmr014.out Bmr014.trans Bmr015.dadb Bmr015.out Bmr015.trans Bmr016.dadb Bmr016.out Bmr016.trans Bmr018.dadb Bmr018.out Bmr018.trans Bmr019.dadb Bmr019.out Bmr019.trans Bmr020.dadb Bmr020.trans Bmr021.dadb Bmr021.trans Bmr022.dadb Bmr022.trans Bmr023.dadb Bmr023.trans Bmr024.dadb Bmr024.trans Bmr025.dadb Bmr025.trans Bmr026.dadb Bmr026.trans Bmr027.dadb Bmr027.trans Bmr028.dadb Bmr028.trans Bmr029.dadb Bmr029.trans Bmr030.dadb Bmr030.trans Bmr031.dadb Bmr031.trans Bns001.dadb Bns001.trans Bns002.dadb Bns002.trans Bns003.dadb Bns003.trans Bro003.dadb Bro003.trans Bro004.dadb Bro004.trans Bro005.dadb Bro005.trans Bro007.dadb Bro007.trans Bro008.dadb Bro008.trans Bro010.dadb Bro010.trans Bro011.dadb Bro011.trans Bro012.dadb Bro012.trans Bro013.dadb Bro013.trans Bro014.dadb Bro014.trans Bro015.dadb Bro015.trans Bro016.dadb Bro016.trans Bro017.dadb Bro017.trans Bro018.dadb Bro018.trans Bro019.dadb Bro019.trans Bro021.dadb Bro021.trans Bro022.dadb Bro022.trans Bro023.dadb Bro023.trans Bro024.dadb Bro024.trans Bro025.dadb Bro025.trans Bro026.dadb Bro026.trans Bro027.dadb Bro027.trans Bro028.dadb Bro028.trans Bsr001.dadb Bsr001.trans Btr001.dadb Btr001.trans Btr002.dadb Btr002.trans Buw001.dadb Buw001.trans scr.sh you know you can hear the sou- - hear the sounds just fine .,s^j,s^j
Bmr019-c0_1139130_1139570,uhhuh .,mm-hmm .,b,b
Bmr019-c0_1147390_1147770,right .,right .,b,b
Bmr019-c1_1147540_1148070,you know it's ==,you know it's ==,s.%--,s.%--
Bmr019-c1_1148640_1152310,they - i mean i- - it's more or less the same principles as these other mikes are built under .,they - i mean i- - it's more or less the same principles as these other mikes are built under .,s,s
Bmr019-c1_1152310_1154340,it's just that there's less quality control .,it's just that there's less quality control .,s,s
Bmr019-c1_1154450_1156030,they just you know churn them out and don't check them .,they just you know churn them out and don't check them .,s,s
Bmr019-c1_1158180_1160610,um so ==,um so ==,fh,fh
Bmr019-c1_1163060_1165380,so that was - yeah so that was i- - interesting result .,so that was - yeah so that was i- - interesting result .,s^ba,s^ba
Bmr019-c1_1165380_1170800,so like i said the front end guys are very much interested in - in this is as - as well .,so like i said the front-end guys are very much interested in - in this is as - as well .,s,s
Bmr019-c1_1170800_1170960,and ==,and ==,%-,%-
Bmr019-c5_1171420_1172840,so - so but where is this now ?,so - so but where is this now ?,qw,qw
Bmr019-c5_1172840_1174680,i mean what's - where do we go from here ?,i mean what's - where do we go from here ?,qw^e,qw^e
Bmr019-c5_1174680_1175070,i mean ==,i mean ==,%--,%--
Bmr019-c4_1174880_1176420,yeah | that was going to be my question .,yeah | that was gonna be my question .,s^aa|s^na,s^aa|s^na
Bmr019-c5_1175460_1178400,we - so we have a - we have a - a system that works pretty well .,we - so we have a - we have a - a system that works pretty well .,s,s
Bmr019-c5_1178400_1183300,but it's not you know the system that people here are used to using - to working with .,but it's not you know the system that people here are used to using - to working with .,s,s
Bmr019-c5_1183300_1184680,so what - what do we do now ?,so what - what do we do now ?,qw,qw
Bmr019-c1_1183630_1186340,well i think what we want to do is we want to - uh ==,well i think what we wanna do is we want to - eh ==,s.%--,s.%--
Bmr019-c1_1186340_1188410,and we've talked about this in other contexts .,and we've talked about this in other contexts .,s,s
Bmr019-c1_1188410_1193290,we want to have the ability to feed it different features .,we want to have the ability to feed it different features .,s,s
Bmr019-c5_1193880_1194340,uhhuh .,mm-hmm .,b,b
Bmr019-c1_1194440_1201000,and then um from the point of view of the front end research it would be s- - uh substituting for h. t. k .,and then um from the point of view of the front-end research it would be s- - uh substituting for h_t_k .,s,s
Bmr019-c5_1194450_1194790,okay .,o_k .,b,b
Bmr019-c5_1201290_1201620,okay .,o_k .,s^bk,s^bk
Bmr019-c1_1202210_1203330,i think that's the key thing .,i think that's the key thing .,s,s
Bmr019-c1_1203530_1207590,and then if we can feed it different features then we can try all the different things that we're trying there .,and then if we can feed it different features then we can try all the different things that we're trying there .,s,s
Bmr019-c5_1203590_1208070,okay all right .,o_k alright .,b,b
Bmr019-c1_1208160_1219720,and then um uh also dave is - is thinking about using the data in different ways uh to um uh explicitly work on reverberation .,and then um uh also dave is - is thinking about using the data in different ways uh to um uh explicitly work on reverberation .,s,s
Bmr019-c5_1214820_1215280,uhhuh .,mm-hmm .,b.%,b.%
Bmr019-c1_1219720_1224390,starting with some techniques that some other people have found somewhat useful and - yeah .,starting with some techniques that some other people have found somewhat useful and - yeah .,s^e,s^e
Bmr019-c5_1223170_1223470,okay .,o_k .,s^bk,s^bk
Bmr019-c5_1224110_1232460,so - so the key thing that's missing here is basically the ability to feed you know other features i- - into the recognizer .,so - so the key thing that's missing here is basically the ability to feed you know other features i- - into the recognizer .,s^bu,s^bu
Bmr019-c5_1232460_1234400,and also then to train the system .,and also then to train the system .,s^bu^e,s^bu^e
Bmr019-c1_1232870_1233090,right .,right .,s^aa,s^aa
Bmr019-c1_1234520_1234760,right .,right .,s^aa,s^aa
Bmr019-c5_1235500_1235740,okay .,o_k .,s^bk,s^bk
Bmr019-c5_1235740_1238160,and uh es- - i don't know when chuck will be back .,and uh es- - i don't know when chuck will be back .,s^no,s^no
Bmr019-c5_1238240_1241090,but that's exactly what he - he's going to ==,but that's exactly what he - he's gonna ==,s.%-,s.%-
Bmr019-c1_1239130_1239320,h- - h- ==,h- - h- ==,%-,%-
Bmr019-c1_1239320_1240980,he's - he's sort of back .,he's - he's sort of back .,s,s
Bmr019-c1_1240980_1244130,but he drove for fourteen hours an- - and wasn't going to make it in today .,but he drove for fourteen hours an- - and wasn't gonna make it in today .,s,s
Bmr019-c5_1242890_1243380,oh okay .,oh o_k .,s^bk,s^bk
Bmr019-c5_1243960_1248270,so | i think that's one of the things that he said he would be working on .,so | i think that's one of the things that he said he would be working on .,fg|s,fg|s
Bmr019-c5_1248620_1248920,um ==,um ==,fh,fh
Bmr019-c5_1250650_1253000,just sort of t- - to make sure that we can do that .,just sort of t- - to make sure that we can do that .,s,s
Bmr019-c4_1250800_1251040,yeah .,yeah .,b,b
Bmr019-c5_1253150_1255020,and um ==,and um ==,fh,fh
Bmr019-c1_1253570_1253800,yeah .,yeah .,s^bk,s^bk
Bmr019-c1_1260580_1260840,right .,right .,s^bk,s^bk
Bmr019-c5_1261540_1269020,it's - uh i mean the - the front end is f- - i- - tha- - that's in the s. r. i recognizer is very nice in that it does a lot of things on the fly .,it's - uh i mean the - the front-end is f- - i- - tha- - that's in the s_r_i recognizer is very nice in that it does a lot of things on the fly .,s,s
Bmr019-c5_1269020_1278920,but it unfortunately is not designed and um - like the uh icsi system is where you can feed it from a pipeline of - of the command .,but it unfortunately is not designed and um - like the uh icsi system is where you can feed it from a pipeline of - of the command .,s^df,s^df
Bmr019-c5_1278920_1286560,so the - what that means probably for the foreseeable future is that you have to uh dump out um ==,so the - what that means probably for the foreseeable future is that you have to uh dump out um ==,s.%--,s.%--
Bmr019-c5_1287120_1291440,you know if you want to use some new features you have to dump them into individual files .,you know if you want to use some new features you have to dump them into individual files .,s,s
Bmr019-c5_1292040_1293980,and give those files to the recognizer .,and give those files to the recognizer .,s,s
Bmr019-c4_1294050_1295370,we do - we tend to do that anyway .,we do - we tend to do that anyway .,s,s
Bmr019-c5_1295630_1296030,okay .,o_k .,s^bk^rt,s^bk^rt
Bmr019-c4_1296510_1296700,oh .,oh .,fh,fh
Bmr019-c4_1296880_1300120,so although you - you can pipe it as well we tend to do it that way .,so although you - you can pipe it as well we tend to do it that way .,s,s
Bmr019-c4_1300120_1304290,because that way you can concentrate on one block and not keep redoing it over and over .,because that way you can concentrate on one block and not keep re-doing it over and over .,s^df,s^df
Bmr019-c5_1304110_1304520,oh okay .,oh o_k .,s^bk,s^bk
Bmr019-c5_1307350_1307690,all right .,alright .,s^bk,s^bk
Bmr019-c1_1307470_1307670,yeah .,yeah .,s^bk,s^bk
Bmr019-c1_1309150_1310130,yeah | so i've - i ==,yeah | so i've - i ==,fg|%-,fg|%-
Bmr019-c4_1310010_1312630,so tha- - that's exactly what the p. file is for .,so tha- - that's exactly what the p_file is for .,s,s
Bmr019-c1_1313010_1313260,yeah .,yeah .,fg,fg
Bmr019-c5_1313490_1319360,yeah | the - the - the cumbersome thing is - is um - is that you actually have to dump out little - little files .,yeah | the - the - the cumbersome thing is - is um - is that you actually have to dump out little - little files .,fg|s,fg|s
Bmr019-c0_1314040_1314220,uh ==,uh ==,b,b
Bmr019-c5_1319360_1324470,so for each segment that you want to recognize you have to dump out a separate file .,so for each segment that you want to recognize you have to dump out a separate file .,s,s
Bmr019-c4_1324580_1324850,uhhuh .,uh-huh .,b,b
Bmr019-c5_1325540_1329030,just like i- - th- - like th- - as if there were these waveform segments .,just like i- - th- - like th- - as if there were these waveform segments .,s,s
Bmr019-c5_1329030_1331150,but instead you have sort of feature file segments .,but instead you have sort of feature file segments .,s,s
Bmr019-c5_1333200_1333900,but you know ==,but you know ==,s.%--,s.%--
Bmr019-c5_1336170_1336460,so ==,so ==,fh,fh
Bmr019-c1_1339170_1339370,cool .,cool .,s^bk,s^bk
Bmr019-c1_1340450_1343510,okay | so the s- - the - the next thing we had on the agenda was something about alignments ?,o_k | so the s- - the - the next thing we had on the agenda was something about alignments ?,fg|qo^d^e,fg|qo^d^e
Bmr019-c0_1345100_1345390,oh .,oh .,s^bk,s^bk
Bmr019-c0_1346410_1347430,yes | we have ==,yes | we have ==,s^aa|s.%--,s^aa|s.%--
Bmr019-c0_1348420_1348670,i don't know .,i don't know .,s^bd^no,s^bd^no
Bmr019-c0_1348670_1349730,did you want to talk about it ?,did you wanna talk about it ?,qy^cs^rt,qy^cs^rt
Bmr019-c0_1349730_1350000,or ?==,or ?==,qrr.%--,qrr.%--
Bmr019-c0_1350200_1351960,i can give a - i was just telling this to jane .,i can give a - i was just telling this to jane .,s,s
Bmr019-c0_1351960_1365350,and - and w- - we - we were able to get some definite improvement on the forced alignments by looking at them first and then realizing the kinds of errors that were occurring .,and - and w- - we - we were able to get some definite improvement on the forced alignments by looking at them first and then realizing the kinds of errors that were occurring .,s,s
Bmr019-c0_1365350_1366760,and um ==,and um ==,fh,fh
Bmr019-c0_1367190_1373300,some of the errors occurring very frequently are just things like the first word being moved to as early as possible in the recognition .,some of the errors occurring very frequently are just things like the first word being moved to as early as possible in the recognition .,s,s
Bmr019-c0_1373300_1378510,which is a um i think was both a - a pruning problem .,which is a um i think was both a - a pruning problem .,s,s
Bmr019-c0_1378510_1384740,and possibly a problem with needing constraints on word locations .,and possibly a problem with needing constraints on word locations .,s,s
Bmr019-c0_1384740_1386820,and so we tried both of these st- - things .,and so we tried both of these st- - things .,s,s
Bmr019-c0_1386820_1387530,we tried saying ==,we tried saying ==,s.%--,s.%--
Bmr019-c0_1388400_1388680,i don't know .,i don't know .,s^bk^no,s^bk^no
Bmr019-c0_1388680_1396220,i got this whacky idea that just from looking at the data that when people talk their words are usually chunked together .,i got this whacky idea that just from looking at the data that when people talk their words are usually chunked together .,s,s
Bmr019-c0_1397330_1400870,it's not that they say one word and then there's a bunch of words together .,it's not that they say one word and then there's a bunch of words together .,s,s
Bmr019-c0_1401200_1404880,they're might say one word and then another word far away if they were doing just backchannels .,they're might say one word and then another word far away if they were doing just backchannels .,s^rt,s^rt
Bmr019-c0_1405270_1411900,but in general if there's like five or six words and one word's far away from it that's probably wrong on average .,but in general if there's like five or six words and one word's far away from it that's probably wrong on average .,s,s
Bmr019-c0_1411900_1413560,so um ==,so um ==,fh,fh
Bmr019-c0_1414680_1418750,and then also ca- - the pruning of course was too - too severe .,and then also ca- - the pruning of course was too - too severe .,s,s
Bmr019-c5_1418410_1419720,so that's actually interesting .,so that's actually interesting .,s^ba,s^ba
Bmr019-c5_1419720_1422540,the pruning was the same value that we used for recognition .,the pruning was the same value that we used for recognition .,s,s
